Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[1].TASK_INFOS[1].LAST_ACTIVATION_DELAY,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[1].TASK_INFOS[1].LAST_EXEC_DURATION,Arp.Plc.Eclr/code.IP_ACTIVE_DT,Arp.Plc.Eclr/code.USER_PART_DT.MEM_FREE,Arp.Plc.Eclr/code.USER_PART_DT.MEM_USAGE,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[2].TASK_INFOS[1].LAST_ACTIVATION_DELAY,Arp.Plc.Eclr/code.USER_PART_DT.MEM_USED,Arp.Plc.Eclr/code.cpu_1,Arp.Plc.Eclr/code.cpu_2,Arp.Plc.Eclr/code.temp,Total_Exec_Duration,Total_Activation_delay,Arp.Plc.Eclr/code.ESM_DATA1.ESM_INFOS[2].TASK_INFOS[1].LAST_EXEC_DURATION,Label,Attack Technique,Timestamp
42.08,122.76,0.0,330526720.0,30.0,44.82,143544320.0,18.3,4.0,56.0,374.38,86.9,251.62,2,2,2024-08-24 22:07:22
45.74,131.0,0.0,330525163.52,30.0,46.68,143545876.48,24.32,10.8,56.0,394.5,92.42,263.5,2,2,2024-08-24 22:07:27
40.32,121.44,0.0,330522624.0,30.0,42.96,143548416.0,19.26,4.26,56.0,368.36,83.28,246.92,2,2,2024-08-24 22:07:32
46.44,135.28,0.0,330522624.0,30.0,46.58,143548416.0,22.9,10.98,56.0,397.5,93.02,262.22,2,2,2024-08-24 22:07:37
42.64,122.56,0.0,330522624.0,30.0,43.72,143548416.0,20.8,4.4,56.0,377.2,86.36,254.64,2,2,2024-08-24 22:07:42
56.6,149.74,0.0,330461921.28,30.0,49.46,143609118.72,32.42,14.0,56.0,420.88,106.06,271.14,2,2,2024-08-24 22:07:47
45.96,126.38,0.0,330415964.16,30.0,48.08,143655075.84,19.38,7.36,56.0,381.82,94.04,255.44,2,2,2024-08-24 22:07:52
56.94,142.34,0.0,330379264.0,30.0,52.22,143691776.0,21.72,7.58,56.0,409.0,109.16,266.66,2,2,2024-08-24 22:07:57
73.14,171.0,0.0,330375168.0,30.0,60.18,143695872.0,29.32,15.8,56.0,467.1,133.32,296.1,2,2,2024-08-24 22:08:02
51.94,132.28,0.0,330375168.0,30.0,51.38,143695872.0,32.02,23.06,56.0,397.94,103.32,265.66,2,2,2024-08-24 22:08:07
49.7,129.28,0.0,330375168.0,30.0,47.46,143695872.0,23.08,10.76,56.0,380.16,97.16,250.88,2,2,2024-08-24 22:08:12
47.62,125.66,0.0,330375168.0,30.0,48.44,143695872.0,19.3,4.78,56.0,384.38,96.06,258.72,2,2,2024-08-24 22:08:17
55.42,143.32,0.0,330371481.6,30.0,52.24,143699558.4,27.56,13.98,56.0,413.32,107.66,270.0,2,2,2024-08-24 22:08:22
49.12,128.12,0.0,330371072.0,30.0,48.12,143699968.0,22.22,11.78,56.0,383.32,97.24,255.2,2,2,2024-08-24 22:08:27
56.74,144.9,0.0,330371072.0,30.0,50.46,143699968.0,22.42,14.12,56.0,404.16,107.2,259.26,2,2,2024-08-24 22:08:32
47.8,126.24,0.0,330371072.0,30.0,48.02,143699968.0,18.06,5.98,56.0,376.2,95.82,249.96,2,2,2024-08-24 22:08:37
51.64,132.78,0.0,330371072.0,30.0,50.58,143699968.0,23.34,12.2,56.0,394.0,102.22,261.22,2,2,2024-08-24 22:08:42
50.18,133.22,0.0,330008084.48,30.0,49.3,144062955.52,20.66,29.8,56.0,402.24,99.48,269.02,2,2,2024-08-24 22:08:47
56.02,140.88,0.0,329504768.0,30.0,53.34,144566272.0,25.18,20.76,56.0,416.12,109.36,275.24,2,2,2024-08-24 22:08:52
45.64,122.64,0.0,329502720.0,30.0,45.7,144568320.0,17.2,4.8,56.0,372.94,91.34,250.3,2,2,2024-08-24 22:08:57
75.78,174.72,0.0,329502720.0,30.0,61.58,144568320.0,26.48,15.94,56.0,471.6,137.36,296.88,2,2,2024-08-24 22:09:02
53.32,138.0,0.0,329502720.0,30.0,50.6,144568320.0,35.14,26.76,56.0,403.1,103.92,265.1,2,2,2024-08-24 22:09:07
54.94,141.5,0.0,329501163.52,30.0,50.74,144569876.48,22.2,10.6,56.0,408.64,105.68,267.14,2,2,2024-08-24 22:09:12
44.3,120.44,0.0,329498624.0,30.0,46.66,144572416.0,17.4,5.8,56.0,369.34,90.96,248.9,2,2,2024-08-24 22:09:17
58.84,142.04,0.0,329498624.0,30.0,52.22,144572416.0,23.0,9.6,56.0,430.78,111.06,288.74,2,2,2024-08-24 22:09:22
54.82,136.4,0.0,329442590.72,30.72,48.42,144628449.28,20.2,8.0,56.0,455.36,103.24,318.96,2,2,2024-08-24 22:09:27
54.48,139.34,0.0,329389342.72,31.0,51.06,144681697.28,24.3,11.2,56.0,457.98,105.54,318.64,2,2,2024-08-24 22:09:32
37.4,119.18,0.0,329355264.0,31.0,47.98,144715776.0,19.02,5.2,56.0,417.48,85.38,298.3,2,2,2024-08-24 22:09:37
48.02,139.42,0.0,329355264.0,31.0,52.14,144715776.0,28.18,7.86,56.0,462.5,100.16,323.08,2,2,2024-08-24 22:09:42
38.86,120.68,0.0,329351168.0,31.0,49.16,144719872.0,28.24,9.74,56.0,423.36,88.02,302.68,2,2,2024-08-24 22:09:47
